era,year,gap,dist_last_h,adj_opp_h,adj_own_h,is_corner_open_h,dens_delta_h,dist_last_kg,adj_opp_kg,adj_own_kg,is_corner_open_kg,dens_delta_kg,katago_winrate,katago_top1_prior
E2,2019,0.0,0.05,0.25,0.5,0.0,0.0,0.05,0.25,0.5,0.0,0.0,0.449663011,0.840826035
E2,2020,0.17088380824499125,0.29154759474226505,0.0,0.0,0.0,0.1,0.4301162633521313,0.0,0.0,0.0,0.0,0.551227982,0.345058382
E2,2018,0.0,0.05,0.25,0.0,0.0,0.0,0.05,0.25,0.0,0.0,0.0,0.194185656,0.230064064
E2,2021,0.36055512754639896,0.1414213562373095,0.0,0.0,0.0,-0.2,0.07071067811865475,0.25,0.25,0.0,-0.2,0.412970318,0.358399898
E2,2021,0.0,0.1,0.0,0.25,0.0,0.0,0.1,0.0,0.25,0.0,0.0,0.400995582,0.993839681
E2,2019,0.0,0.05,0.25,0.0,0.0,-0.2,0.05,0.25,0.0,0.0,-0.2,0.706748905,0.313502908
E2,2021,0.0,0.1118033988749895,0.0,0.0,0.0,-0.1,0.1118033988749895,0.0,0.0,0.0,-0.1,0.473925299,0.446311325
E2,2018,0.0,0.15811388300841897,0.25,0.0,0.0,0.0,0.15811388300841897,0.25,0.0,0.0,0.0,0.389687365,0.520960867
E2,2018,0.30111402535153936,0.18027756377319945,0.25,0.0,0.0,-0.2,0.20615528128088303,0.25,0.0,0.0,0.1,0.34372143,0.218168184
E2,2020,0.0,0.07071067811865475,0.25,0.25,0.0,0.0,0.07071067811865475,0.25,0.25,0.0,0.0,0.558234136,0.552817106
E2,2021,0.0,0.05,0.25,0.0,0.0,-0.1,0.05,0.25,0.0,0.0,-0.1,0.469848737,0.897464156
E2,2021,0.0,0.05,0.25,0.0,1.0,0.1,0.05,0.25,0.0,1.0,0.1,0.533487509,0.780472696
E2,2020,0.0,0.05,0.25,0.25,0.0,-0.1,0.05,0.25,0.25,0.0,-0.1,0.444127343,0.885176599
E2,2019,0.0,0.2692582403567252,0.25,0.0,0.0,0.1,0.2692582403567252,0.25,0.0,0.0,0.1,0.539180976,0.789842248
E2,2021,0.0,0.38078865529319544,0.0,0.25,0.0,-0.1,0.38078865529319544,0.0,0.25,0.0,-0.1,0.407045842,0.611959219
E2,2021,0.0,0.1118033988749895,0.5,0.0,0.0,-0.4,0.1118033988749895,0.5,0.0,0.0,-0.4,0.416250032,0.99510622
E2,2021,0.21194785694641688,0.25,0.0,0.0,0.0,0.1,0.32015621187164245,0.0,0.0,0.0,-0.1,0.520916519,0.282086164
E2,2021,0.08740320488976422,0.07071067811865475,0.0,0.0,0.0,0.0,0.15811388300841897,0.0,0.0,0.0,0.0,0.659216717,0.468320578
E2,2020,0.41812470243697913,0.5024937810560445,0.25,0.0,0.0,-0.2,0.6519202405202649,0.0,0.0,0.0,0.1,0.72772931,0.360814035
E2,2019,0.666200480104633,0.07071067811865475,0.0,0.25,0.0,-0.1,0.6800735254367722,0.0,0.0,0.0,0.0,0.459109045,0.223146126
E2,2021,0.048041398272464064,0.20615528128088303,0.0,0.0,0.0,-0.1,0.15811388300841897,0.0,0.0,0.0,-0.1,0.570860573,0.404142082
E2,2018,0.0,0.05,0.25,0.25,0.0,0.0,0.05,0.25,0.25,0.0,0.0,0.80837969,0.86758244
E2,2021,0.3767920429397097,0.05,0.25,0.0,0.0,0.0,0.18027756377319945,0.0,0.25,0.0,0.0,0.537683934,0.218095347
E2,2021,0.0,0.1414213562373095,0.25,0.0,0.0,0.0,0.1414213562373095,0.25,0.0,0.0,0.0,0.449451042,0.491264641
E3,2023,0.37859625144806175,0.3605551275463989,0.0,0.25,0.0,0.1,0.2692582403567252,0.25,0.0,0.0,0.2,0.542385642,0.167788476
E3,2022,0.36800670128155893,0.07071067811865475,0.0,0.25,0.0,0.0,0.05,0.25,0.0,0.0,0.1,0.391771331,0.495919555
E3,2025,0.0,0.15,0.5,0.0,0.0,-0.1,0.15,0.5,0.0,0.0,-0.1,0.448151563,0.758766115
E3,2026,0.0,0.3535533905932738,0.25,0.0,0.0,0.1,0.3535533905932738,0.25,0.0,0.0,0.1,0.594765138,0.250493765
E3,2023,0.0,0.05,0.25,0.0,1.0,0.0,0.05,0.25,0.0,1.0,0.0,0.464506278,0.818333864
E3,2022,0.0,0.05,0.25,0.5,0.0,0.1,0.05,0.25,0.5,0.0,0.1,0.471459825,0.997209847
E3,2024,1.1376249298655279,0.05,0.25,0.0,0.0,0.0,0.5830951894845301,0.25,0.0,1.0,-0.1,0.458429792,0.216788709
E3,2024,0.48527438500815506,0.40311288741492746,0.0,0.0,0.0,-0.2,0.07071067811865475,0.25,0.25,0.0,-0.2,0.323494088,0.235208198
